Year,YearCode,Country Name,Country Code,GDP,Unemployment
2012,YR2012,Austria,AUT,46642.2903264503,8.69999980926514
2012,YR2012,Belgium,BEL,43372.370713283,19.7999992370605
2012,YR2012,Bulgaria,BGR,6978.05308420711,28.1000003814697
2012,YR2012,Croatia,HRV,13880.5360700684,43.0999984741211
2012,YR2012,Cyprus,CYP,26070.3674278903,27.7999992370605
2012,YR2012,Czech Republic,CZE,18682.8127693761,19.5
2012,YR2012,Denmark,DNK,56325.6584387785,14.1000003814697
2012,YR2012,Estonia,EST,16716.6712522956,20.8999996185303
2012,YR2012,Finland,FIN,45720.7693697217,17.7000007629395
2012,YR2012,France,FRA,39771.8428056603,23.7999992370605
2012,YR2012,Germany,DEU,41862.7105230881,8.10000038146973
2012,YR2012,Greece,GRC,22082.8897548635,55.2999992370605
2012,YR2012,Hungary,HUN,12530.5266356685,28.1000003814697
2012,YR2012,Ireland,IRL,45931.7247863052,30.3999996185303
2012,YR2012,Italy,ITA,33071.8393135065,35.2999992370605
2012,YR2012,Latvia,LVA,14007.8775162772,28.3999996185303
2012,YR2012,Lithuania,LTU,14183.01601695,26.3999996185303
2012,YR2012,Luxembourg,LUX,103827.992278028,18.7999992370605
2012,YR2012,Malta,MLT,20847.5905712297,14.1999998092651
2012,YR2012,Poland,POL,12707.8543136195,26.5
2012,YR2012,Portugal,PRT,20165.286119153,37.5999984741211
2012,YR2012,Romania,ROM,9036.0361679301,22.7000007629395
2012,YR2012,Slovak Republic,SVK,16847.3603888159,34
2012,YR2012,Slovenia,SVN,22000.0695671819,20.6000003814697
2012,YR2012,Sweden,SWE,55041.1568371501,23.7000007629395
2012,YR2012,United Kingdom,GBR,39093.4728380825,21
2012,YR2012,European Union,EUU,32782.0894738721,24.9362152832786
2012,YR2012,Spain,ESP,28624.4729064329,53.2000007629395
